Sample Type,Z in mm,Contrast
20um_0.25r,34.177,0.25423347990973977
20um_0.25r,34.027,0.24283584101204023
20um_0.25r,29.977,0.1584964409164322
20um_0.25r,34.527,0.2997722816353441
20um_0.25r,33.777,0.22866747044024283
20um_0.25r,33.627,0.21891316653624518
20um_0.25r,30.677,0.15343155098660832
20um_0.25r,30.727,0.14692109160187647
20um_0.25r,31.177,0.1639451924318105
20um_0.25r,31.027,0.16359329852651738
20um_0.25r,33.927,0.23898619073919763
20um_0.25r,30.827,0.16312864884463943
20um_0.25r,30.977,0.15755274741995162
20um_0.25r,32.077,0.15876325018253515
20um_0.25r,32.127,0.1683245363553793
20um_0.25r,34.327,0.2600467339138377
20um_0.25r,32.777,0.18240380804520365
20um_0.25r,32.627,0.16930832716663427
20um_0.25r,31.677,0.16181017477153084
20um_0.25r,31.727,0.15802881825124016
20um_0.25r,30.177,0.15874086837448473
20um_0.25r,30.027,0.15716784930820304
20um_0.25r,32.927,0.18885713606358837
20um_0.25r,32.877,0.17629936001917146
20um_0.25r,34.427,0.28617399164947693
20um_0.25r,31.827,0.16440581190456058
20um_0.25r,31.977,0.1628762868594642
20um_0.25r,33.077,0.1806823390784984
20um_0.25r,33.127,0.19680498731257237
20um_0.25r,34.627,0.3250840043484848
20um_0.25r,31.777,0.1658446335496054
20um_0.25r,31.627,0.1594196492828244
20um_0.25r,32.677,0.1762246854536437
20um_0.25r,32.727,0.17774555138845902
20um_0.25r,31.927,0.15834787694726418
20um_0.25r,31.877,0.16049600396259495
20um_0.25r,33.177,0.18813554555365572
20um_0.25r,33.027,0.18479707431194173
20um_0.25r,30.077,0.1530118882427871
20um_0.25r,30.127,0.15978629810982678
20um_0.25r,33.977,0.23657340947873592
20um_0.25r,32.827,0.18308100958312598
20um_0.25r,32.977,0.18962341111022246
20um_0.25r,34.127,0.23894160509928852
20um_0.25r,34.827,0.3338631075850288
20um_0.25r,34.077,0.2523600085531795
20um_0.25r,30.777,0.16289802461196154
20um_0.25r,30.627,0.16089051893442025
20um_0.25r,29.927,0.16236975137678034
20um_0.25r,34.927,1.8691804317047735
20um_0.25r,33.677,0.2071528163419363
20um_0.25r,33.727,0.2217299612258175
20um_0.25r,33.877,0.22111660388401652
20um_0.25r,30.927,0.1613905096883082
20um_0.25r,30.877,0.1527334565048877
20um_0.25r,32.177,0.15775419907742538
20um_0.25r,32.027,0.16479504638226297
20um_0.25r,31.077,0.16381913719084085
20um_0.25r,31.127,0.1613819139414804
20um_0.25r,33.827,0.23069307256019478
20um_0.25r,34.727,0.3633162033646498
20um_0.25r,31.577,0.1618521639898119
20um_0.25r,31.427,0.15998732255985712
20um_0.25r,34.877,0.3641002342472694
20um_0.25r,32.477,0.17425157118427276
20um_0.25r,32.527,0.1662982861010244
20um_0.25r,33.377,0.2088293748531129
20um_0.25r,33.227,0.19727955576449255
20um_0.25r,34.777,0.3321616186795052
20um_0.25r,30.277,0.16069971344718975
20um_0.25r,30.327,0.15638677520830077
20um_0.25r,34.677,0.3362875038954254
20um_0.25r,30.577,0.15676198454258217
20um_0.25r,30.427,0.15951379866474968
20um_0.25r,33.477,0.20550081256182393
20um_0.25r,33.527,0.20355368215841022
20um_0.25r,32.377,0.16461691331887807
20um_0.25r,32.227,0.17021397764680848
20um_0.25r,31.277,0.16082982794521852
20um_0.25r,31.327,0.15297611333464725
20um_0.25r,33.577,0.2114673870998202
20um_0.25r,33.427,0.20000445190885713
20um_0.25r,34.377,0.28617850359991925
20um_0.25r,30.477,0.15709077893106435
20um_0.25r,30.527,0.15316803195224726
20um_0.25r,34.227,0.26379913441296104
20um_0.25r,34.477,0.28420468014061584
20um_0.25r,31.377,0.15910927618717866
20um_0.25r,31.227,0.1587381204546467
20um_0.25r,32.277,0.1725284520517773
20um_0.25r,32.327,0.17145014842746
20um_0.25r,32.577,0.1764253570207149
20um_0.25r,32.427,0.1765372788336253
20um_0.25r,31.477,0.15180655035651636
20um_0.25r,31.527,0.16413113209112715
20um_0.25r,34.577,0.32875184042156064
20um_0.25r,30.377,0.16154566918634022
20um_0.25r,30.227,0.15865173159560975
20um_0.25r,33.277,0.19753317510355883
20um_0.25r,33.327,0.1949039013201863
20um_0.25r,34.277,0.2465125181635349
20um_0.50r,30.441,0.14613972611406997
20um_0.50r,33.591,0.2090328994264728
